Año,Departamento,Municipio,Producto,Área Cosechada,Área Sembrada,Producción,Rendimiento,Ciclo
2024,ANTIOQUIA,EBEJICO,AGUACATE HASS,4.9,4.9,24.5,5.0,PERMANENTE
2022,ANTIOQUIA,EBEJICO,AGUACATE HASS,17.9,17.9,89.5,5.0,PERMANENTE
2021,ANTIOQUIA,EBEJICO,AGUACATE HASS,17.9,17.9,89.5,5.0,PERMANENTE
2023,ANTIOQUIA,EBEJICO,AGUACATE HASS,17.9,17.9,89.5,5.0,PERMANENTE
2020,ANTIOQUIA,ENTRERRIOS,AGUACATE HASS,4.12,7.12,41.2,10.0,PERMANENTE
2024,ANTIOQUIA,ENTRERRIOS,AGUACATE HASS,82.0,97.0,656.0,8.0,PERMANENTE
2022,ANTIOQUIA,ENTRERRIOS,AGUACATE HASS,71.0,82.0,710.0,10.0,PERMANENTE
2021,ANTIOQUIA,ENTRERRIOS,AGUACATE HASS,72.0,72.0,720.0,10.0,PERMANENTE
2023,ANTIOQUIA,ENTRERRIOS,AGUACATE HASS,71.0,97.0,568.0,8.0,PERMANENTE
2020,ANTIOQUIA,ENVIGADO,AGUACATE HASS,9.2,9.2,11.0,1.2,PERMANENTE
2024,ANTIOQUIA,ENVIGADO,AGUACATE HASS,1.0,1.0,10.0,10.0,PERMANENTE
2022,ANTIOQUIA,ENVIGADO,AGUACATE HASS,10.23,10.23,102.3,10.0,PERMANENTE
2021,ANTIOQUIA,ENVIGADO,AGUACATE HASS,10.23,10.23,27.31,2.67,PERMANENTE
2023,ANTIOQUIA,ENVIGADO,AGUACATE HASS,0.8,0.8,8.0,10.0,PERMANENTE
2024,ANTIOQUIA,FREDONIA,AGUACATE HASS,152.0,252.0,912.0,6.0,PERMANENTE
2022,ANTIOQUIA,FREDONIA,AGUACATE HASS,50.0,252.0,300.0,6.0,PERMANENTE
2021,ANTIOQUIA,FREDONIA,AGUACATE HASS,50.0,100.0,300.0,6.0,PERMANENTE
2020,ANTIOQUIA,FREDONIA,AGUACATE HASS,40.0,50.0,240.0,6.0,PERMANENTE
2023,ANTIOQUIA,FREDONIA,AGUACATE HASS,50.0,252.0,300.0,6.0,PERMANENTE
2023,ANTIOQUIA,FRONTINO,AGUACATE HASS,4.0,4.0,32.0,8.0,PERMANENTE
2024,ANTIOQUIA,FRONTINO,AGUACATE HASS,4.0,4.0,32.0,8.0,PERMANENTE
2023,ANTIOQUIA,GIRALDO,AGUACATE HASS,2.0,2.0,8.0,4.0,PERMANENTE
2024,ANTIOQUIA,GIRALDO,AGUACATE HASS,1.0,1.0,4.0,4.0,PERMANENTE
2024,ANTIOQUIA,GIRARDOTA,AGUACATE HASS,7.0,13.0,84.0,12.0,PERMANENTE
2021,ANTIOQUIA,GIRARDOTA,AGUACATE HASS,6.0,6.0,34.98,5.83,PERMANENTE
2022,ANTIOQUIA,GIRARDOTA,AGUACATE HASS,6.0,6.0,54.0,9.0,PERMANENTE
2020,ANTIOQUIA,GIRARDOTA,AGUACATE HASS,6.0,6.0,18.0,3.0,PERMANENTE
2023,ANTIOQUIA,GIRARDOTA,AGUACATE HASS,6.0,7.0,72.0,12.0,PERMANENTE
2022,ANTIOQUIA,GRANADA,AGUACATE HASS,220.0,220.0,1980.0,9.0,PERMANENTE
2020,ANTIOQUIA,GRANADA,AGUACATE HASS,198.0,220.0,1782.0,9.0,PERMANENTE
2023,ANTIOQUIA,GRANADA,AGUACATE HASS,180.0,190.0,1620.0,9.0,PERMANENTE
2024,ANTIOQUIA,GRANADA,AGUACATE HASS,180.0,190.0,1620.0,9.0,PERMANENTE
2021,ANTIOQUIA,GRANADA,AGUACATE HASS,198.0,220.0,1782.0,9.0,PERMANENTE
2021,ANTIOQUIA,GUARNE,AGUACATE HASS,180.0,180.0,624.6,3.47,PERMANENTE
2024,ANTIOQUIA,GUARNE,AGUACATE HASS,33.0,70.0,297.0,9.0,PERMANENTE
2020,ANTIOQUIA,GUARNE,AGUACATE HASS,37.36,60.36,336.23,9.0,PERMANENTE
2023,ANTIOQUIA,GUARNE,AGUACATE HASS,35.36,54.0,318.24,9.0,PERMANENTE
2022,ANTIOQUIA,GUARNE,AGUACATE HASS,180.0,182.0,1620.0,9.0,PERMANENTE
2024,ANTIOQUIA,GUATAPE,AGUACATE HASS,34.1,39.6,235.29,6.9,PERMANENTE
2020,ANTIOQUIA,GUATAPE,AGUACATE HASS,35.0,35.0,227.5,6.5,PERMANENTE
2023,ANTIOQUIA,GUATAPE,AGUACATE HASS,34.1,36.6,235.29,6.9,PERMANENTE
2022,ANTIOQUIA,GUATAPE,AGUACATE HASS,34.1,35.6,221.65,6.5,PERMANENTE
2021,ANTIOQUIA,GUATAPE,AGUACATE HASS,35.0,35.0,227.85,6.51,PERMANENTE
2020,ANTIOQUIA,JARDIN,AGUACATE HASS,108.1,149.2,1297.2,12.0,PERMANENTE
2023,ANTIOQUIA,JARDIN,AGUACATE HASS,181.2,302.2,2355.6,13.0,PERMANENTE
2022,ANTIOQUIA,JARDIN,AGUACATE HASS,102.2,162.2,1430.8,14.0,PERMANENTE
2021,ANTIOQUIA,JARDIN,AGUACATE HASS,122.2,182.2,1710.8,14.0,PERMANENTE
2024,ANTIOQUIA,JARDIN,AGUACATE HASS,200.2,200.2,2602.6,13.0,PERMANENTE
