Año,Departamento,Municipio,Producto,Área Cosechada,Área Sembrada,Producción,Rendimiento,Ciclo
2024,ANTIOQUIA,CONCORDIA,AGUACATE HASS,"223,00","285,00","4.460,00","20,00",PERMANENTE
2021,ANTIOQUIA,COPACABANA,AGUACATE HASS,"8,20","18,20","24,35","2,97",PERMANENTE
2022,ANTIOQUIA,COPACABANA,AGUACATE HASS,"10,20","18,20","30,29","2,97",PERMANENTE
2020,ANTIOQUIA,COPACABANA,AGUACATE HASS,"0,00","19,20","0,00","0,00",PERMANENTE
2024,ANTIOQUIA,COPACABANA,AGUACATE HASS,"10,20","19,20","30,60","3,00",PERMANENTE
2023,ANTIOQUIA,COPACABANA,AGUACATE HASS,"10,20","18,20","30,60","3,00",PERMANENTE
2020,ANTIOQUIA,EBEJICO,AGUACATE HASS,"17,90","17,90","89,50","5,00",PERMANENTE
2024,ANTIOQUIA,EBEJICO,AGUACATE HASS,"4,90","4,90","24,50","5,00",PERMANENTE
2022,ANTIOQUIA,EBEJICO,AGUACATE HASS,"17,90","17,90","89,50","5,00",PERMANENTE
2021,ANTIOQUIA,EBEJICO,AGUACATE HASS,"17,90","17,90","89,50","5,00",PERMANENTE
2023,ANTIOQUIA,EBEJICO,AGUACATE HASS,"17,90","17,90","89,50","5,00",PERMANENTE
2020,ANTIOQUIA,ENTRERRIOS,AGUACATE HASS,"4,12","7,12","41,20","10,00",PERMANENTE
2024,ANTIOQUIA,ENTRERRIOS,AGUACATE HASS,"82,00","97,00","656,00","8,00",PERMANENTE
2022,ANTIOQUIA,ENTRERRIOS,AGUACATE HASS,"71,00","82,00","710,00","10,00",PERMANENTE
2021,ANTIOQUIA,ENTRERRIOS,AGUACATE HASS,"72,00","72,00","720,00","10,00",PERMANENTE
2023,ANTIOQUIA,ENTRERRIOS,AGUACATE HASS,"71,00","97,00","568,00","8,00",PERMANENTE
2020,ANTIOQUIA,ENVIGADO,AGUACATE HASS,"9,20","9,20","11,00","1,20",PERMANENTE
2024,ANTIOQUIA,ENVIGADO,AGUACATE HASS,"1,00","1,00","10,00","10,00",PERMANENTE
2022,ANTIOQUIA,ENVIGADO,AGUACATE HASS,"10,23","10,23","102,30","10,00",PERMANENTE
2021,ANTIOQUIA,ENVIGADO,AGUACATE HASS,"10,23","10,23","27,31","2,67",PERMANENTE
